location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Sweden,SWE,2022-04-07,,,,,,22270,,,,,2192,277,0.003
Sweden,SWE,2022-04-08,,,,,,24546,,,,,2416,271,0.003
Sweden,SWE,2022-04-09,,,,,,26822,,,,,2640,265,0.003
Sweden,SWE,2022-04-10,21388061,7809603,7614063,,,29098,210.51,76.86,74.94,,2864,259,0.003
Sweden,SWE,2022-04-11,,,,,,28771,,,,,2832,251,0.002
Sweden,SWE,2022-04-12,,,,,,28445,,,,,2800,244,0.002
Sweden,SWE,2022-04-13,,,,,,28118,,,,,2767,236,0.002
Sweden,SWE,2022-04-14,,,,,,27791,,,,,2735,228,0.002
Sweden,SWE,2022-04-15,,,,,,27464,,,,,2703,221,0.002
Sweden,SWE,2022-04-16,,,,,,27137,,,,,2671,213,0.002
Sweden,SWE,2022-04-17,21575735,7811042,7616622,,,26811,212.36,76.88,74.97,,2639,206,0.002
Sweden,SWE,2022-04-18,,,,,,24977,,,,,2458,673,0.007
Sweden,SWE,2022-04-19,,,,,,23144,,,,,2278,1140,0.011
Sweden,SWE,2022-04-20,,,,,,21311,,,,,2098,1607,0.016
Sweden,SWE,2022-04-21,21631651,7824945,7627870,5263172,,19478,212.91,77.02,75.08,51.8,1917,2074,0.02
Sweden,SWE,2022-04-22,,,,,,20449,,,,,2013,2085,0.021
Sweden,SWE,2022-04-23,,,,,,21419,,,,,2108,2096,0.021
Sweden,SWE,2022-04-24,,,,,,22390,,,,,2204,2108,0.021
Sweden,SWE,2022-04-25,,,,,,25193,,,,,2480,1651,0.016
Sweden,SWE,2022-04-26,,,,,,27997,,,,,2756,1195,0.012
Sweden,SWE,2022-04-27,,,,,,30800,,,,,3031,739,0.007
Sweden,SWE,2022-04-28,21866877,7826928,7631111,5289487,,33604,215.22,77.04,75.11,52.06,3307,283,0.003
Sweden,SWE,2022-04-29,,,,,,32992,,,,,3247,281,0.003
Sweden,SWE,2022-04-30,,,,,,32381,,,,,3187,280,0.003
Sweden,SWE,2022-05-01,,,,,,31769,,,,,3127,278,0.003
Sweden,SWE,2022-05-02,,,,,,31158,,,,,3067,276,0.003
Sweden,SWE,2022-05-03,,,,,,30546,,,,,3006,274,0.003
Sweden,SWE,2022-05-04,,,,,,29935,,,,,2946,272,0.003
Sweden,SWE,2022-05-05,22072138,7828820,7633999,5315394,,29323,217.24,77.05,75.14,52.32,2886,270,0.003
Sweden,SWE,2022-05-06,,,,,,28389,,,,,2794,272,0.003
Sweden,SWE,2022-05-07,,,,,,27455,,,,,2702,274,0.003
Sweden,SWE,2022-05-08,,,,,,26522,,,,,2610,276,0.003
Sweden,SWE,2022-05-09,,,,,,25588,,,,,2518,278,0.003
Sweden,SWE,2022-05-10,,,,,,24654,,,,,2427,280,0.003
Sweden,SWE,2022-05-11,,,,,,23720,,,,,2335,282,0.003
Sweden,SWE,2022-05-12,22231642,7830804,7636781,5340339,,22786,218.81,77.07,75.16,52.56,2243,283,0.003
Sweden,SWE,2022-05-13,,,,,,22184,,,,,2183,281,0.003
Sweden,SWE,2022-05-14,,,,,,21582,,,,,2124,278,0.003
Sweden,SWE,2022-05-15,,,,,,20979,,,,,2065,275,0.003
Sweden,SWE,2022-05-16,,,,,,20377,,,,,2006,272,0.003
Sweden,SWE,2022-05-17,,,,,,19775,,,,,1946,270,0.003
Sweden,SWE,2022-05-18,,,,,,19173,,,,,1887,267,0.003
Sweden,SWE,2022-05-19,22361635,7832652,7639544,5363592,,18570,220.09,77.09,75.19,52.79,1828,264,0.003
